,mean,sd,share_agree,share_disagree,share_neutral,n,domain_code,domain,question,polarisation
V12,1.119,0.9181,0.7931,0.0575,0.1149,84,V,Environment,Environmental sustainability should be integrated into higher education curricula.,0.1823
T05,1.1839,0.9164,0.8046,0.0575,0.1379,87,T,Technology,Artificial Intelligence will significantly accelerate scientific discovery.,0.185
E01,1.3218,0.9033,0.8391,0.069,0.092,87,E,Education,Project-based learning develops deeper understanding than examination-oriented learning.,0.2315
E05,1.0941,0.9026,0.7931,0.069,0.1149,85,E,Education,Students should be encouraged to take courses outside their primary discipline.,0.2188
T13,1.0118,0.9009,0.6552,0.0345,0.2874,85,T,Technology,Cybersecurity deserves greater investment than the development of new digital technologies.,0.0904
S01,1.2791,0.8977,0.8736,0.0575,0.0575,86,S,Ethics & Society,Every individual has a responsibility to contribute positively to society.,0.2008
T06,1.2069,0.8859,0.8736,0.0575,0.069,87,T,Technology,Most repetitive jobs will eventually be replaced by intelligent automation.,0.2008
T11,1.1647,0.8791,0.8046,0.069,0.1034,85,T,Technology,Technology companies should explain how recommendation algorithms work.,0.222
T10,1.1839,0.8779,0.8161,0.046,0.1379,87,T,Technology,Protection of personal data is more important than technological convenience.,0.1501
S03,1.2644,0.8638,0.8736,0.0575,0.069,87,S,Ethics & Society,New technologies should be evaluated for their societal impact before widespread deployment.,0.2008
S15,1.2442,0.8618,0.8506,0.0345,0.1034,86,S,Ethics & Society,Building public trust is essential for responsible adoption of emerging technologies.,0.1173
V10,1.0353,0.8602,0.7356,0.0345,0.2069,85,V,Environment,Consumers should consider environmental impact when purchasing products.,0.1015
T04,1.2069,0.8461,0.8046,0.023,0.1724,87,T,Technology,Every engineering student should receive formal education in AI.,0.074
T03,1.0353,0.8181,0.7471,0.023,0.2069,85,T,Technology,Students should disclose the use of AI in assignments and reports.,0.0687
S06,1.3908,0.8074,0.908,0.023,0.069,87,S,Ethics & Society,"Combating online misinformation requires shared responsibility among users, platforms, and governments.",0.0835
E08,1.2588,0.7993,0.8046,0.023,0.1494,85,E,Education,Maintaining academic honesty is more important than obtaining high grades.,0.074
V05,1.3721,0.7931,0.8966,0.0345,0.0575,86,V,Environment,Single-use plastics should be significantly restricted.,0.1237
S07,1.4302,0.7856,0.8736,0.0345,0.0805,86,S,Ethics & Society,Equal opportunities should be prioritized regardless of a person's background.,0.1205
S12,1.2558,0.7804,0.8506,0.0345,0.1034,86,S,Ethics & Society,Young people should actively participate in addressing societal challenges.,0.1173
T14,1.5,0.7738,0.8966,0.023,0.069,86,T,Technology,Social media algorithms contribute to opinion polarization.,0.0824
T15,1.186,0.7703,0.8161,0.023,0.1494,86,T,Technology,Society will increasingly depend on AI-assisted decision making.,0.075
E07,1.2989,0.7446,0.8506,0.0115,0.1379,87,E,Education,"Publishing research before graduation should be encouraged, but not mandatory.",0.0391
S14,1.2976,0.7365,0.8276,0.0115,0.1264,84,S,Ethics & Society,Leaders should prioritize ethical decision-making even when it reduces short-term gains.,0.038
V08,1.2941,0.7328,0.8621,0.023,0.092,85,V,Environment,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,0.0793
V02,1.4353,0.7268,0.8966,0.0115,0.069,85,V,Environment,Governments should prioritize investment in renewable energy over fossil fuels.,0.0412
S10,1.25,0.7217,0.8276,0.0115,0.1264,84,S,Ethics & Society,Scientific evidence should play an important role in public policy decisions.,0.038
S13,1.2644,0.7186,0.8621,0.0115,0.1264,87,S,Ethics & Society,Critical evaluation of online information should be taught as a core educational skill.,0.0396
V04,1.3837,0.718,0.8736,0.0115,0.1034,86,V,Environment,Public transportation and non-motorized transport should be promoted even if they require additional public investment.,0.0402
V09,1.6,0.7063,0.9195,0.0345,0.023,85,V,Environment,"Products should be designed to encourage reuse, repair, and recycling.",0.1268
V11,1.3214,0.6928,0.8621,0.0115,0.092,84,V,Environment,Technological innovation is essential for addressing environmental challenges.,0.0396
E10,1.5287,0.6921,0.9425,0.0115,0.046,87,E,Education,Universities should prioritize innovation and problem-solving over rote learning.,0.0433
E14,1.5287,0.6921,0.931,0.023,0.046,87,E,Education,Strong collaborations between universities and industry improve student education.,0.0856
V07,1.4941,0.6795,0.9195,0.023,0.0345,85,V,Environment,Protecting biodiversity is essential for long-term human well-being.,0.0846
V14,1.5529,0.6418,0.9195,0.0115,0.046,85,V,Environment,International cooperation is necessary to effectively address environmental challenges.,0.0423
E11,1.6207,0.6296,0.9425,0.0115,0.046,87,E,Education,University curricula should be updated more frequently to match emerging technologies.,0.0433
V15,1.5059,0.6254,0.931,0.0115,0.0345,85,V,Environment,Current generations have a responsibility to protect natural resources for future generations.,0.0428
V01,1.5176,0.6252,0.908,0.0,0.069,85,V,Environment,Climate change requires immediate global action.,0.0
S11,1.5517,0.6019,0.9655,0.0115,0.023,87,S,Ethics & Society,People should be free to express differing opinions as long as they do not promote harm or discrimination.,0.0444
S05,1.6322,0.5895,0.9425,0.0,0.0575,87,S,Ethics & Society,Individuals should have greater control over how their personal data are collected and used.,0.0
V06,1.5119,0.5874,0.9195,0.0,0.046,84,V,Environment,"Water conservation should be a priority in households, institutions, and industries.",0.0
S09,1.4706,0.5859,0.931,0.0,0.046,85,S,Ethics & Society,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,0.0
V13,1.6706,0.5613,0.954,0.0115,0.0115,85,V,Environment,Companies should be held accountable for the environmental impacts of their activities.,0.0439
E15,1.7126,0.5008,0.977,0.0,0.023,87,E,Education,Continuous learning and skill development are essential throughout one's career.,0.0
